id,hypothesis_category,text,expected_label,rationale
1,negation,"This app did not crash even once, it's actually very stable.",positive,"Tests if model catches negation + positive meaning"
2,negation,"The update didn't make it any better, still slow and buggy.",negative,"Negation of improvement"
3,negation,"I wouldn't say it's bad, but it's not great either.",neutral,"Double negation / soft negative"
4,lexical_trigger,"The app is no longer reliable after the last update.",negative,"Positive word 'reliable' with negation"
5,lexical_trigger,"Finally a good app that doesn't drain my battery!",positive,"Positive trigger with negation"
6,lexical_trigger,"This used to be amazing but now it's just okay.",neutral,"Past positive trigger now neutral"
7,domain_shift,"The new iPhone 16 has excellent battery life compared to previous models.",positive,"Phone review style (domain shift)"
8,domain_shift,"This restaurant has the best pizza in town, highly recommended!",positive,"Restaurant review - domain shift"
9,domain_shift,"The movie was too long and boring, I almost fell asleep.",negative,"Movie review - domain shift"
10,length_extreme,"Great!",positive,"Very short positive"
11,length_extreme,"Terrible app.",negative,"Very short negative"
12,length_extreme,"Works fine I guess.",neutral,"Very short neutral"
13,sarcasm,"Oh wow, another useless update. Thanks developers, really appreciate it.",negative,"Sarcastic positive words"
14,sarcasm,"Best app ever, keeps crashing every 2 minutes.",negative,"Classic sarcasm"
15,sarcasm,"Super fast and smooth, love waiting 10 seconds for every screen.",negative,"Sarcastic"
16,other,"The UI is beautiful but the functionality is completely broken.",negative,"Mixed sentiment (conflicting signals)"
17,other,"It does what it needs to do, nothing more nothing less.",neutral,"Very balanced neutral"
18,negation,"The app is not slow at all, it runs perfectly.",positive,"Negation testing"
19,lexical_trigger,"Customer support is helpful... said no one ever.",negative,"Lexical trigger with sarcasm"
20,domain_shift,"The latest Windows update ruined my workflow completely.",negative,"Software OS review domain"
21,length_extreme,"Absolutely love this app!!!",positive,"Very short but strong positive"
22,length_extreme,"This is the worst banking app I have ever used in my life and I have used many.",negative,"Very long negative"
23,sarcasm,"Yeah sure, this app is totally worth the subscription fee.",negative,"Sarcasm about value"
24,other,"Sometimes it works, sometimes it doesn't, depends on my mood.",neutral,"Uncertain / inconsistent behavior"
25,negation,"I can't complain about the performance.",positive,"Subtle negation / litotes"
26,lexical_trigger,"Used to be my favorite app until they added all these ads.",negative,"Past positive trigger"
27,sarcasm,"Thanks for the constant notifications, just what I needed at 3 AM.",negative,"Sarcastic"
28,other,"It's okay, nothing special but gets the job done.",neutral,"Mild neutral review"
